name,slug,status,logo_source,logo_url
Fundraisly,fundraisly,inserted,website-icon,/logos/tools/fundraisly.png
Co-Invest,co-invest,inserted,google-favicon,/logos/tools/co-invest.png
Paste App,paste-app,inserted,website-icon,/logos/tools/paste-app.png
Rodeo by TwelveLabs,rodeo-by-twelvelabs,inserted,website-icon,/logos/tools/rodeo-by-twelvelabs.png
Branda,branda,inserted,website-icon,/logos/tools/branda.png
Knock Agent for Slack,knock-agent-for-slack,inserted,website-icon,/logos/tools/knock-agent-for-slack.svg
Mina Meeting Assistant,mina-meeting-assistant,inserted,website-icon,/logos/tools/mina-meeting-assistant.png
Databox MCP,databox-mcp,inserted,apple-touch-icon,/logos/tools/databox-mcp.png
Dune Keypad,dune-keypad,inserted,website-icon,/logos/tools/dune-keypad.png
folk,folk,inserted,website-icon,/logos/tools/folk.png
Typeahead,typeahead,inserted,google-favicon,https://www.google.com/s2/favicons?domain=typeahead.app&sz=128
Tokenwise,tokenwise,inserted,website-icon,/logos/tools/tokenwise.jpg
Wingbits AI,wingbits-ai,inserted,website-icon,/logos/tools/wingbits-ai.ico
Openstatus Health,openstatus-health,inserted,website-icon,/logos/tools/openstatus-health.ico
Step 3.7 Flash,step-3-7-flash,inserted,website-icon,/logos/tools/step-3-7-flash.svg
Ava Studio,ava-studio,inserted,google-favicon,https://www.google.com/s2/favicons?domain=avastudio.ai&sz=128
Agent A | Ahrefs,agent-a-ahrefs,inserted,website-icon,/logos/tools/agent-a-ahrefs.svg
MCP Bridge | Appfactor,mcp-bridge-appfactor,inserted,website-icon,/logos/tools/mcp-bridge-appfactor.png
Integuru,integuru,inserted,website-icon,/logos/tools/integuru.svg
Basedash,basedash,inserted,website-icon,/logos/tools/basedash.ico
Clipline,clipline,inserted,google-favicon,https://www.google.com/s2/favicons?domain=clipline.ai&sz=128
Buffer API,buffer-api,inserted,apple-touch-icon,/logos/tools/buffer-api.png
zero.xyz,zero-xyz,inserted,website-icon,/logos/tools/zero-xyz.ico
Coworker AI,coworker-ai,inserted,website-icon,/logos/tools/coworker-ai.svg
Octolane,octolane,inserted,website-icon,/logos/tools/octolane.png
Krater,krater,inserted,website-icon,/logos/tools/krater.png
DodoForm,dodoform,inserted,website-icon,/logos/tools/dodoform.ico
Parsewise API,parsewise-api,inserted,website-icon,/logos/tools/parsewise-api.png
Rezonant,rezonant,inserted,favicon,/logos/tools/rezonant.svg
Willow Scribe,willow-scribe,inserted,website-icon,/logos/tools/willow-scribe.png
__SUMMARY__,inserted:30,updated:0,skipped:0,input:30
